"House Committee on Agriculture","HSAG"
"House Committee on Agriculture/Subcommittee on  Conservation, Credit, Energy, and Research","HSAG_ene"
"House Committee on Agriculture/Subcommittee on Department Operations, Oversight, Nutrition and Forestry","HSAG_for"
"House Committee on Agriculture/Subcommittee on General Farm Commodities and Risk Management","HSAG_gfc"
"House Committee on Agriculture/Subcommittee on Horticulture and Organic Agriculture","HSAG_bzz"
"House Committee on Agriculture/Subcommittee on Livestock, Dairy, and Poultry ","HSAG_ldp"
"House Committee on Agriculture/Subcommittee on Rural Development, Biotechnology, Specialty Crops, and Foreign Agriculture","HSAG_bio"
"House Committee on Appropriations","HSAP"
"House Committee on Appropriations/Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","HSAP_fda"
"House Committee on Appropriations/Subcommittee on Commerce, Justice and Science, and Related Agencies","HSAP_com"
"House Committee on Appropriations/Subcommittee on Defense","HSAP_def"
"House Committee on Appropriations/Subcommittee on Energy and Water Development","HSAP_ene"
"House Committee on Appropriations/Subcommittee on Financial Services","HSAP_fin"
"House Committee on Appropriations/Subcommittee on Homeland Security","HSAP_dhs"
"House Committee on Appropriations/Subcommittee on Interior, Environment and Related Agencies","HSAP_doi"
"House Committee on Appropriations/Subcommittee on Labor, Health and Human Services, Education, and Related Agencies","HSAP_hhs"
"House Committee on Appropriations/Subcommittee on Legislative Branch","HSAP_leg"
"House Committee on Appropriations/Subcommittee on Military Construction, Veterans' Affairs and Related Agencies","HSAP_dva"
"House Committee on Appropriations/Subcommittee on Transportation, Housing and Urban Development, and Related Agencies","HSAP_hud"
"House Committee on Appropriations/Subcommittee on State, Foreign Operations, and Related Programs","HSAP_sta"
"House Committee on Armed Services","HSAS"
"House Committee on Armed Services/Subcommittee on Air and Land Forces","HSAS_alf"
"House Committee on Armed Services/Subcommittee on Readiness","HSAS_rdi"
"House Committee on Armed Services/Subcommittee on Seapower and Expeditionary Forces","HSAS_sea"
"House Committee on Armed Services/Oversight and Investigations Subcommittee","HSAS_osi"
"House Committee on Armed Services/Subcommittee on Terrorism, Unconventional Threats and Capabilities","HSAS_ter"
"House Committee on Armed Services/Strategic Forces Subcommittee ","HSAS_stf"
"House Committee on Armed Services/Military Personnel Subcommittee","HSAS_mip"
"House Committee on the Budget","HSBU"
"House Committee on Education and Labor","HSED"
"House Committee on Education and Labor/Subcommittee on Early Childhood, Elementary and Secondary Education","HSED_kid"
"House Committee on Education and Labor/Subcommittee on Healthy Families and Communities","HSED_hfc"
"House Committee on Education and Labor/Subcommittee on Higher Education, Lifelong Learning and Competitiveness","HSED_hed"
"House Committee on Education and Labor/Subcommittee on Health, Employment, Labor, and Pensions","HSED_hel"
"House Committee on Education and Labor/Subcommittee on Workforce Protections","HSED_wfp"
"House Committee on Energy and Commerce","HSIF"
"House Committee on Energy and Commerce/Subcommittee on Energy and Environment","HSIF_env"
"House Committee on Energy and Commerce/Subcommittee on Communications, Technology, and the Internet","HSIF_cti"
"House Committee on Energy and Commerce/Subcommittee on Health","HSIF_hth"
"House Committee on Energy and Commerce/Subcommittee on Commerce, Trade, and Consumer Protection","HSIF_ctc"
"House Committee on Energy and Commerce/Subcommittee on Oversight and Investigations","HSIF_osi"
"House Committee on Standards of Official Conduct","HSSO"
